title,authors,language,publisher,combined_features
exquisite corpse,poppy z. brite,en,gallery books,exquisite corpse poppy z. brite gallery books en
return king,brian sibley,en,bbc audiobooks ltd,return king brian sibley bbc audiobooks ltd en
fellowship ring,j.r.r. tolkien,en,houghton mifflin,fellowship ring j.r.r. tolkien houghton mifflin en
lord rings hobbit,j.r.r. tolkien,en,collins modern classics,lord rings hobbit j.r.r. tolkien collins modern classics en
bored rings parody jrr tolkiens lord rings,the harvard lampoon,en,roc trade,bored rings parody jrr tolkiens lord rings the harvard lampoon roc trade en
return shadow history lord rings part one,j.r.r. tolkien,en,houghton mifflin,return shadow history lord rings part one j.r.r. tolkien houghton mifflin en
les deux tours,j.r.r. tolkien,fr,pocket,les deux tours j.r.r. tolkien pocket fr
lord rings,j.r.r. tolkien,en,bbc audiobooks,lord rings j.r.r. tolkien bbc audiobooks en
return king,j.r.r. tolkien,en,quality paperback book club,return king j.r.r. tolkien quality paperback book club en
ice storm,rick moody,en,back bay books,ice storm rick moody back bay books en
diviners,rick moody,en,back bay books,diviners rick moody back bay books en
right livelihoods three novellas,rick moody,en,little brown and,right livelihoods three novellas rick moody little brown and en
black veil memoir digressions,rick moody,en,little brown and,black veil memoir digressions rick moody little brown and en
garden state,rick moody,en,london : faber 2002,garden state rick moody london : faber 2002 en
lord rings millennium edition boxed set,j.r.r. tolkien,en,houghton mifflin,lord rings millennium edition boxed set j.r.r. tolkien houghton mifflin en
twentyseventh city,jonathan franzen,en,harpercollins publishers,twentyseventh city jonathan franzen harpercollins publishers en
stork naked,piers anthony,en,tor books,stork naked piers anthony tor books en
pet peeve,piers anthony,en,tor books,pet peeve piers anthony tor books en
heaval,piers anthony,en,tor fantasy,heaval piers anthony tor fantasy en
roc hard place,piers anthony,en,tor books,roc hard place piers anthony tor books en
swell foop,piers anthony,en,tor fantasy,swell foop piers anthony tor fantasy en
green mother,piers anthony,en,severn house,green mother piers anthony severn house en
firefly,piers anthony,en,avon books,firefly piers anthony avon books en
yon ill wind,piers anthony,en,tor fantasy,yon ill wind piers anthony tor fantasy en
vision tarot,piers anthony,en,ace books,vision tarot piers anthony ace books en
pale horse,piers anthony,en,del rey books,pale horse piers anthony del rey books en
vale vole,piers anthony,en,tor fantasy,vale vole piers anthony tor fantasy en
dastard,piers anthony,en,tor books,dastard piers anthony tor books en
demons dont dream,piers anthony,en,tor fantasy,demons dont dream piers anthony tor fantasy en
color panties,piers anthony,en,eos,color panties piers anthony eos en
faun games,piers anthony,en,tor fantasy,faun games piers anthony tor fantasy en
harpy thyme,piers anthony,en,tor books,harpy thyme piers anthony tor books en
geis gargoyle,piers anthony,en,tor fantasy,geis gargoyle piers anthony tor fantasy en
three complete xanth novels,piers anthony,en,wings,three complete xanth novels piers anthony wings en
god tarot,piers anthony,en,ace,god tarot piers anthony ace en
faith tarot,piers anthony,en,ace,faith tarot piers anthony ace en
unicorn point,piers anthony,en,ace books,unicorn point piers anthony ace books en
hard sell,piers anthony,en,ace,hard sell piers anthony ace en
var stick,piers anthony,en,corgi,var stick piers anthony corgi en
xanth quest magic,piers anthony,en,del rey,xanth quest magic piers anthony del rey en
killobyte,piers anthony,en,ace,killobyte piers anthony ace en
fractal mode,piers anthony,en,ace,fractal mode piers anthony ace en
anthonology,piers anthony,en,tor books,anthonology piers anthony tor books en
maccabees,jonathan a. goldstein,en,anchor bible,maccabees jonathan a. goldstein anchor bible en
ii maccabees,anonymous,en,anchor bible,ii maccabees anonymous anchor bible en
question quest,piers anthony,en,avon,question quest piers anthony avon en
rings ice,piers anthony,en,avon books,rings ice piers anthony avon books en
shame man,piers anthony,en,tor books,shame man piers anthony tor books en
magic kingdom salesold,terry brooks,en,del rey books,magic kingdom salesold terry brooks del rey books en
armageddons children,terry brooks,en,ballantine books,armageddons children terry brooks ballantine books en
straken,terry brooks,en,del rey,straken terry brooks del rey en
tanequil,terry brooks,en,del rey books,tanequil terry brooks del rey books en
voyage jerle shannara trilogy,terry brooks,en,del rey,voyage jerle shannara trilogy terry brooks del rey en
heritage shannara,terry brooks,en,del rey books,heritage shannara terry brooks del rey books en
jarka ruus,terry brooks,en,del rey,jarka ruus terry brooks del rey en
ilse witch,terry brooks,en,earthlight,ilse witch terry brooks earthlight en
first king shannara,terry brooks,en,del rey,first king shannara terry brooks del rey en
elf queen shannara,terry brooks,en,orbit,elf queen shannara terry brooks orbit en
druids keep,terry brooks,en,del rey,druids keep terry brooks del rey en
elfstones shannara,terry brooks,en,del rey books,elfstones shannara terry brooks del rey books en
shadow warlock lord,terry brooks,en,del rey,shadow warlock lord terry brooks del rey en
ferdydurke,witold gombrowicz,en,yale university press,ferdydurke witold gombrowicz yale university press en
cosmos pornografia two novels,witold gombrowicz,en,grove press,cosmos pornografia two novels witold gombrowicz grove press en
cosmos,witold gombrowicz,en,yale university press,cosmos witold gombrowicz yale university press en
bacacay,witold gombrowicz,en,archipelago books,bacacay witold gombrowicz archipelago books en
mcsweeneys 12,dave eggers,en,mcsweeney's,mcsweeneys 12 dave eggers mcsweeney's en
midwifes tale life martha ballard based diary 17851812,laurel thatcher ulrich,en,vintage books,midwifes tale life martha ballard based diary 17851812 laurel thatcher ulrich vintage books en
midwifes apprentice,karen cushman,en,harpertrophy,midwifes apprentice karen cushman harpertrophy en
heart hands midwifes guide pregnancy birth,elizabeth davis,en,celestial arts,heart hands midwifes guide pregnancy birth elizabeth davis celestial arts en
midwifes story,sheryl feldman,en,pinter & martin ltd,midwifes story sheryl feldman pinter & martin ltd en
midwifes tale,gretchen moran laskas,en,delta,midwifes tale gretchen moran laskas delta en
varneys pocket midwife,jan m. kriebs,en,jones & bartlett publishers,varneys pocket midwife jan m. kriebs jones & bartlett publishers en
mcsweeneys 24,dave eggers,en,mcsweeney's,mcsweeneys 24 dave eggers mcsweeney's en
billy budd sailor uncompleted writings,herman melville,en,northwestern university press,billy budd sailor uncompleted writings herman melville northwestern university press en
billy budd sailor,herman melville,en,university of chicago press,billy budd sailor herman melville university of chicago press en
billy budd sailor,herman melville,en,simon schuster,billy budd sailor herman melville simon schuster en
outsider,richard wright,en,harpperen,outsider richard wright harpperen en
native son,richard wright,en,harper perennial modern classics,native son richard wright harper perennial modern classics en
later works black boy outsider,richard wright,en,library of america,later works black boy outsider richard wright library of america en
cyrano de bergerac,edmond rostand,en,signet classics,cyrano de bergerac edmond rostand signet classics en
cyrano de bergerac,edmond rostand,en,nick hern books,cyrano de bergerac edmond rostand nick hern books en
inferno dante new verse translation,dante alighieri,mix,farrar straus and giroux,inferno dante new verse translation dante alighieri farrar straus and giroux mix
batman inferno,alexander c. irvine,en,del rey,batman inferno alexander c. irvine del rey en
inferno,dante alighieri,en,oxford university press usa,inferno dante alighieri oxford university press usa en
dantes inferno,dante alighieri,en,indiana university press,dantes inferno dante alighieri indiana university press en
stranger beside ted bundy shocking inside story,ann rule,en,signet,stranger beside ted bundy shocking inside story ann rule signet en
kindness strangers,katrina kittle,en,william morrow paperbacks,kindness strangers katrina kittle william morrow paperbacks en
stranger forest foot across borneo,eric hansen,en,vintage,stranger forest foot across borneo eric hansen vintage en
strangers paradise pocket book 5,terry moore,en,abstract studio,strangers paradise pocket book 5 terry moore abstract studio en
strangers house,georges simenon,en,nyrb classics,strangers house georges simenon nyrb classics en
wayside school gets little stranger,louis sachar,en,bloomsbury u.s.a. children's books,wayside school gets little stranger louis sachar bloomsbury u.s.a. children's books en
strangers,dean koontz,en,berkley,strangers dean koontz berkley en
strangers train,patricia highsmith,en,w. w. norton &,strangers train patricia highsmith w. w. norton & en
come stranger,cynthia voigt,en,simon pulse,come stranger cynthia voigt simon pulse en
